Year,State,Program,Level,College/University Name,Type,Affiliated University,State,City,Courses Offered,Intake Capacity,Accreditation,Approval Year
2016-2017,Andhra Pradesh,Applied Arts and Crafts,PG,No data available in table
2016-2017,Arunachal Pradesh,Applied Arts and Crafts,UG,No data available in table
2016-2017,Arunachal Pradesh,Applied Arts and Crafts,PG,No data available in table
2016-2017,Assam,Applied Arts and Crafts,UG,No data available in table
2016-2017,Assam,Applied Arts and Crafts,PG,No data available in table
2016-2017,Bihar,Applied Arts and Crafts,UG,No data available in table
2016-2017,Bihar,Applied Arts and Crafts,PG,No data available in table
2016-2017,Chandigarh,Applied Arts and Crafts,UG,No data available in table
2016-2017,Chandigarh,Applied Arts and Crafts,PG,No data available in table
2016-2017,Chhattisgarh,Applied Arts and Crafts,UG,No data available in table
2016-2017,Chhattisgarh,Applied Arts and Crafts,PG,No data available in table
2016-2017,Dadra and Nagar Haveli,Applied Arts and Crafts,UG,No data available in table
2016-2017,Dadra and Nagar Haveli,Applied Arts and Crafts,PG,No data available in table
2016-2017,Daman and Diu,Applied Arts and Crafts,UG,1-2813813460,GOVERNMENT COLLEGE OF ART,SECTOR 10C,CHANDIGARH,Government,N,N,Click Here,NA
2016-2017,Daman and Diu,Applied Arts and Crafts,PG,No data available in table
2016-2017,Delhi,Applied Arts and Crafts,UG,1-2814308997,COLLEGE OF ART,20-22 TILAK MARG,EAST DELHI,Government,N,N,Click Here,NA
2016-2017,Delhi,Applied Arts and Crafts,PG,No data available in table
2016-2017,Goa,Applied Arts and Crafts,UG,1-2809451721,GOA COLLEGE OF ART,"ALTINHO, PANAJI - GOA 403 001",NORTH GOA,Government,N,N,Click Here,NA
2016-2017,Goa,Applied Arts and Crafts,PG,No data available in table
2016-2017,Gujarat,Applied Arts and Crafts,UG,No data available in table
2016-2017,Gujarat,Applied Arts and Crafts,PG,No data available in table
2016-2017,Haryana,Applied Arts and Crafts,UG,1-2813569477,GALAXY GLOBAL EDUCATIONAL TRUST'S GROUP OF INSTITUTIONS,"SHAHABAD-SAHA ROAD, NH-73, VILL. DINARPUR, DISTT. AMBALA",AMBALA,Unaided - Private,N,N,Click Here,NA
2016-2017,Haryana,Applied Arts and Crafts,PG,No data available in table
2016-2017,Himachal Pradesh,Applied Arts and Crafts,UG,No data available in table
2016-2017,Himachal Pradesh,Applied Arts and Crafts,PG,No data available in table
2016-2017,Jammu and Kashmir,Applied Arts and Crafts,UG,No data available in table
2016-2017,Jammu and Kashmir,Applied Arts and Crafts,PG,No data available in table
2016-2017,Jharkhand,Applied Arts and Crafts,UG,No data available in table
2016-2017,Jharkhand,Applied Arts and Crafts,PG,No data available in table
2016-2017,Karnataka,Applied Arts and Crafts,UG,No data available in table
